Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
arrowhead,17.2492945241993,16.5770005385706,15.9494844763806,15.2293159572219,14.5679116801458,14.3323293742201,13.6018825621413,14.1771032217503,12.9859012641018,13.4983994594268,12.9721859595407,12.0211083844422,12.1012532949908,13.9044945337793,9.612784712007,9.17804015578116,10.1763888979705,11.0310367586581,5.99504095915895,5.4764978060574,5.66384124482221,6.50665737848108,6.58182187543419,6.6392141444699,7.22152729619081,10.0686058188659,10.5190088250277,23.3112022822332,20.3699004509511,17.9013733405362,15.6162596795588,14.4536420945901,13.3514380764133,13.0196684925779,12.2678854173602,11.4939385874715,11.0729679527825,10.9751742511673,10.8821317297311,11.4656724347714,10.3687502328164,10.0899405906102,10.1280937874175,10.4850653900414,10.8952973851202,11.0980481846234,11.8256692696896,12.040462892393,11.9135076929853,11.7493086233828,11.6021183468399,10.8560667811576,10.3506373504576,9.87585701299816,10.1419709714234,10.2909676882603,10.6619613932367,11.2015092433171,11.766355390105,12.4895756337027,13.1492238001366,13.9190086457304,15.1167625460009,16.7478829804484
asterisk,10.1606180279524,10.4488893522343,9.87100872893956,9.30989886451633,9.12531377690646,9.18271007609829,7.43152358625225,6.62601839790086,5.64308003183941,3.82739855980665,3.81215527354622,5.32454331909041,7.60854061835849,8.21048104777301,8.45032546234982,9.4001716246705,10.0352493842434,10.344514384906,10.8872418509585,11.5406368084781,18.2444831012054,16.4631437044984,14.775845492835,13.2079905111279,11.7860703074011,10.9719465101351,9.95291700888086,9.08496474814119,8.17591653963217,6.83201400472647,4.39743324985441,3.54173777562785,5.02816188951381,7.44004238623941,9.11130792490401,9.89653255706278,10.7826684667115,11.2175845677783,12.0460427603581,13.0401386484331,14.0796616747125,14.9295323436448,13.8476626171261,12.9575040526929,12.3145319288737,11.2620485819751,10.752149507613,10.1065383473199,9.40520476492684,8.57751183628961,7.61272090990502,6.5917817259696,5.02459383394756,4.22320267953989,5.18752899801334,7.39131806162297,8.12326385833716,9.00775588200798,9.84190896326273,10.473058284943,10.773547652003,11.5101722418164,11.7744613335648,12.5638060007915
d,13.0613085258345,10.1923889514272,9.14619512509354,9.2770057849589,10.422354381599,10.995413945004,10.7524505417801,10.5087822543528,10.1669935057541,10.0456898890328,9.9247577113228,9.94030678972245,9.97157206710212,10.1301314567067,10.2645300075369,10.5328948900986,10.7957301287459,11.1472842736409,11.5905598473017,12.1602594876463,12.5292038339899,12.1384665486376,12.689198487147,11.6443227659777,11.0566636437702,11.025642647449,10.2362523711738,11.372710776952,11.3351542142431,11.2219847585415,11.0348348821222,10.815835153107,10.6640303067143,10.6520755075299,11.1816384726682,11.1064966380339,11.196020264852,11.2196944873506,11.4441812477687,11.3297846021494,11.1568866073723,11.234024133715,10.7032227033351,9.64070129890496,9.20643217207473,8.77645967107295,8.51508378009574,8.41602332214061,8.44486710258616,8.36863457292911,8.28404709218365,8.40005930761047,8.32025128484194,8.42277545162464,8.5720209592162,8.78840563626257,8.95524856862469,9.07021806664009,9.20176899444311,9.63183316899454,9.83021709253155,10.0242672573555,11.0957126275437,13.952473098909
exclamation point,20.7584427372934,15.4188981561724,14.1320322729459,13.4657059032922,13.0134887039056,12.5098331727126,11.9932136748477,11.5047507393274,11.0445136395392,10.5976452445855,10.1056041345796,9.65364400953804,9.19750003720428,8.74691210221032,8.29986210525662,7.86196095020106,7.43125575581014,6.99904967670341,6.56362228451555,6.13371160234915,5.71118157751992,5.28811028564324,4.86665442383507,4.4485907573811,4.04308234875963,3.63814739060467,3.2414858391993,2.86221227849785,2.49014185289899,2.1333905619059,1.80534652185301,1.51386130291557,1.3677410164687,1.38453096870197,1.56454506120577,1.79613786191279,1.96451381864136,2.2674364068255,2.66081150951401,3.07336517378309,3.50450761329408,3.93381168187598,4.36543859987374,4.77867322269573,5.22304831089005,5.6423467173293,6.09260492131599,6.51414531591575,6.97118409268813,7.4182106528235,7.87432304231568,8.31909032857915,8.7581611212031,9.24495750781388,9.63922210214706,10.0918056948134,10.781254583206,10.9991723311637,11.5187998654804,11.9764249653176,12.5132109927222,13.0180312007504,13.5186942011356,14.0736132354015
five point star,16.6720624387681,14.5316213809165,12.9429431074695,11.6022970088361,10.2970785329875,9.46083529822021,8.02212412979263,7.5823452244955,7.06828273229617,10.2691239498477,11.2462153933082,12.2390571676843,13.7648221637208,11.3686211567325,9.47885488721714,8.97661587325252,7.12785293039593,7.46822185516916,8.71750735464926,8.16583831202369,9.67706966530375,11.1000659526618,12.5062850742757,14.0619135153705,16.1107570359341,13.5435638454129,11.463474818618,9.63858436004096,7.93372693617264,5.97604921092407,6.72977604114718,7.58039174378638,7.83449250924399,9.64993013584169,12.2872819275603,13.7411997594848,15.6062192788485,17.7591128119803,15.5787209220362,12.192893590618,9.73901145072167,8.34700252127274,7.24604662722766,6.53303791722706,6.3664609291992,10.6054359459972,12.3654652581939,14.0813306048,15.6479880580156,16.8540001582893,18.7919217828754,16.3489381045093,14.8180414258851,13.2069793214127,11.6541455541486,6.60181444082581,6.89787060067346,6.85249331592142,7.58171565485915,9.45384654374871,10.8360146484475,12.3193458999358,14.3344595708515,15.7796562704952
h,14.7830241127323,14.3757664493384,14.0472884070219,13.6591235079792,13.275446906142,12.8455676752858,12.5461931614106,12.2011364769313,11.8966092662676,11.7787782048645,11.4382483019159,10.4483528685129,10.375998026086,9.3695193732211,9.96047284806229,10.2896637641756,10.5985169281224,10.8931952258485,11.2727700165772,11.6507772503263,11.9693354208723,12.5364196487685,10.4219814327614,10.0343123557981,10.5372478611398,9.47643716821289,9.47976540633865,9.64240220187027,9.42895295190452,9.19671461453612,9.13299129259901,9.03370975706392,9.10409754882225,9.25224990492571,9.45430924447016,9.67962959336549,10.4794431056074,16.3113383990553,14.4204987669677,13.4752937022664,13.599219891666,13.0104227337589,12.865769474858,12.7653797170603,12.7634050143268,12.7102120230271,12.6020865139335,12.2937764607963,11.6720621592711,10.4161156603245,9.37077181480314,8.75370087082689,8.81908484532931,9.54567130086836,10.1973272718778,10.3888293893704,10.7770763395742,11.2106004793356,11.6687002443991,12.1461100721293,12.6673851771395,13.2419714693739,13.8903616632227,14.3638558912295
half note,12.0469310432046,11.2109668833609,10.8640587446873,10.5501612117489,10.320643402542,10.0249321527801,9.73106466854863,9.41798460442461,9.15084495858444,8.9141008975489,8.72170500543879,8.92900892645938,8.78130126501015,8.67074393636679,8.6756561761899,8.91547595292611,8.97192814498915,8.90146217652795,8.82720766226437,8.82823689930648,8.54006406823667,8.66651598170799,8.19848775936472,8.03537872059139,8.49226048548235,8.17583422648398,8.03064834805726,8.38485280365558,8.14141389046041,9.4678698956436,9.51722329060692,9.40312600218894,9.25734977139364,8.76527865905308,8.54295896723147,8.41701249773943,8.15958976878643,8.18613595608874,8.10613345786914,7.90195481868302,7.85497093489595,7.95390783124975,7.9044825450075,7.8294163093198,7.8185435472701,7.80695538090996,7.67718228284351,7.59325162231332,7.49021627195721,7.46040941867691,7.52309325844282,7.39124866451272,7.42971879064973,7.55175963993057,7.65853130658253,7.73195163137812,7.62767582135838,7.70350315972294,7.67913989649811,7.27209505933401,7.32092021058576,7.52113877487226,8.02261492057927,8.37998444140979
i,13.1348417549913,11.3284225523455,10.6978239891887,10.2090498949119,9.90839110794439,9.27182972826098,8.6707219163142,8.28421223633204,7.68767472246254,7.40515944758845,7.2673728358365,7.21259952123356,7.22851738862642,7.30484309468287,7.470062637204,7.51994544532961,7.96174812971936,8.60268476086119,9.17478698018564,9.5269564643833,10.1724972157608,10.9986334075745,10.2610290430724,17.4579190168561,17.3365477476176,17.1576907979296,16.9163314755802,16.7653730942916,16.6826374535546,16.458515985611,16.2780809053028,15.748371792767,11.2869173029448,11.5600166949347,12.4699740483388,13.3914535050297,14.2296154612449,14.6776150837436,15.1880522814277,15.5252836845698,15.908627785969,16.2228162941366,15.4643290086526,15.7338956303195,15.9266987265688,15.4322807429894,14.9387856523871,14.5468370908436,14.0599442606849,13.5836535868797,12.8348202350534,12.092659861338,11.1429329821023,11.9855635435987,14.8440315847575,15.4333252518212,15.9801889990174,16.2154290685381,16.5991575662272,16.7728003392754,17.0848816748504,17.4473444438344,17.8048946190644,18.0330757069556
line,12.5559107618739,12.1246784269167,11.6870699741112,11.2844478928966,10.8658336021383,10.4720946964434,10.0828582426704,9.68472041395795,9.29664393643688,8.90283339698674,8.51448818035531,8.12067010935257,7.73344217619436,7.34229739994379,6.95572323924098,6.56229632850878,6.1723588304342,5.78438106485343,5.39482610225332,5.00375691466937,4.61667623637241,4.23479042285415,3.85494143519166,3.47001835836736,3.08219246609371,2.70331595014194,2.33436101673762,1.97432855361019,1.62310982843212,1.28925272997671,0.973686071635146,0.714081453615402,0.728593464355128,0.981878136495562,1.28883412767827,1.62332127865463,1.96848840042319,2.3328965833802,2.70200073412089,3.07865846357656,3.45554802918584,3.82731737166289,4.2049454583337,4.58754954651524,4.97071787281826,5.36375948328676,5.75569227768955,6.14910039888899,6.54282453667468,6.93013792972235,7.31301819419465,7.99951210380035,8.07285208000512,8.46023208424207,8.8761591083119,9.23284846332433,9.64639126609847,10.0301264833955,10.4622441054723,10.8745181015779,11.3143793090464,11.7847961337165,12.2800517859698,12.8113363542922
n,14.2402016671978,13.2392286138999,12.1802132041187,11.351299181119,10.6633518592777,10.0957804649736,9.74746911226388,9.54630915235475,9.62691368075828,9.82459986635388,9.96498331033632,10.1452768763892,10.3494792069817,10.8500387783693,11.1109346678831,11.3973993486907,12.3574339114931,13.9572215147571,13.8417850371115,11.932079926736,11.3985391047428,11.1257866764147,10.8617085440929,11.0171517062306,11.2964062474849,11.0663475196408,10.7217726810801,10.2357876667098,10.3965386254367,9.42692473908307,8.79444429715285,8.51049570819535,8.39296026238243,8.38054378656062,8.36238019593812,8.17705278803077,8.71076696405459,9.2736166472958,10.0585887056665,10.9728928075975,11.8838805190144,12.9638230334378,22.2181626013068,19.9908031967505,19.1334155182072,18.2704818541723,17.3966214003949,15.6345830890144,15.1534464951698,14.770179553487,13.0668549570684,14.37709674227,10.7664485690783,13.6275159754864,9.6512508812723,9.88849571717079,11.6540883681652,9.18152709431078,10.6185305291928,9.62821626491646,10.23210924029,10.9622903143039,11.4276972085807,12.1558627395189
